,osmid,geometry,fclass,name
1379,354240988,POINT (-87.6256068 41.8417),school,Saint James School
1380,354240994,POINT (-87.6217153 41.7486453),place_of_worship,Saint James Evangelical Lutheran Church
1381,354241000,POINT (-87.7295 41.8655879),place_of_worship,Saint James Church of God in Christ
1382,354241010,POINT (-87.6508875 41.9200325),school,Saint James Lutheran School
1383,354241016,POINT (-87.5653246 41.7572569),place_of_worship,Saint James Evangelical Community Church
1384,354241027,POINT (-87.772833 41.796699),place_of_worship,Saint Jane De Chantal Roman Catholic Church
1385,354241049,POINT (-87.6231029 41.6878122),place_of_worship,Saint James Temple Church of God
1386,354241058,POINT (-87.6339404 41.8422554),school,Saint Jerome School
1387,354241092,POINT (-87.6339404 41.8419777),place_of_worship,Saint Jeromes Roman Catholic Church
1388,354241103,POINT (-87.7547791 41.882532),place_of_worship,Saint John Church of God in Christ
1389,354241109,POINT (-87.6133808 41.7086455),place_of_worship,Saint John De La Salle Roman Catholic Church
1390,354241120,POINT (-87.6425518 41.8405888),place_of_worship,Saint John Nepomucene Roman Catholic Church
1391,354241136,POINT (-87.777281 41.9216982),place_of_worship,Saint John Bosco Roman Catholic Church
1392,354241153,POINT (-87.5456011 41.7294795),place_of_worship,Saint John the Baptist Catholic Church
1393,354241159,POINT (-87.6911665 41.9086434),place_of_worship,Saint George Byelorussian Orthodox Catholic Church
1394,354241200,POINT (-87.6000479 41.7519788),school,Saint Francis School
1395,354241222,POINT (-87.67089 41.9833652),school,Saint Gregory Grade School
1396,354241227,POINT (-87.6725567 41.9822541),school,Saint Gregory Preschool
1397,354241238,POINT (-87.6535557 41.9310281),place_of_worship,Saint George Greek Orthodox Church
1398,354241462,POINT (-87.5428217 41.6519796),place_of_worship,Saint Hedwig Church
1399,354241468,POINT (-87.6256038 41.7255898),place_of_worship,Saint James African Methodist Episcopal Church
1400,354241479,POINT (-87.6450509 41.8030891),place_of_worship,Saint James Church of God in Christ
1401,354241513,POINT (-87.6666716 41.9399608),place_of_worship,Saint Luke Evangelical Lutheran Church
1402,354241530,POINT (-87.6975545 41.8666992),place_of_worship,Saint Luke Church of God in Christ
1403,354241535,POINT (-87.7031097 41.8475326),school,Saint Ludmilla School
1404,354241540,POINT (-87.7031098 41.8478104),place_of_worship,Saint Ludmillas Roman Catholic Church
1405,354241546,POINT (-87.5622691 41.7630903),place_of_worship,Saint Margaret's Episcopal Church
1406,354241557,POINT (-87.6836655 41.8833658),school,Saint Malachy School
1407,354241563,POINT (-87.6833877 41.8833658),place_of_worship,Saint Malachys Roman Catholic Church
1408,354241574,POINT (-87.7000557 41.91031),place_of_worship,Saint Lukes United Church of Christ
1409,354241613,POINT (-87.6642174 41.7711446),place_of_worship,Progressive Church of God in Christ
1410,354241625,POINT (-87.6561606 41.7355895),place_of_worship,Progressive Beulah Pentecostal Church
1411,354241635,POINT (-87.7258889 41.8722545),place_of_worship,Prince of Peace Church of God in Christ
1412,354241641,POINT (-87.7233888 41.8711434),school,Presentation Adult Education School
1413,354241664,POINT (-87.7342656 41.919076),school,Prince of Peace Lutheran School
1414,354241680,POINT (-87.6253276 41.7889227),place_of_worship,Prayer Garden Church of God in Christ
1415,354241707,POINT (-87.8000604 41.9486422),place_of_worship,Saint John Syrian Orthodox Church
1416,354241741,POINT (-87.645608 41.8586441),place_of_worship,Saint Joseph Catholic Church
1417,354241743,POINT (-87.5594905 41.7350349),place_of_worship,Saint Joseph Catholic Church
1418,354241759,POINT (-87.6925531 41.8241996),place_of_worship,Saint Joseph and Saint Anne Catholic Church
1419,354241762,POINT (-87.5617134 41.7586459),place_of_worship,Saint Joseph House of Candle Spiritual Church
1420,354241774,POINT (-87.6989438 41.8797546),place_of_worship,Saint Joseph Baptist Church
1421,354241778,POINT (-87.7586681 41.880032),place_of_worship,Saint Jude Spiritual Church
1422,354241791,POINT (-87.752279 41.8805876),place_of_worship,Saint Jude Church of God in Christ
1423,354241795,POINT (-87.641718 41.8239222),place_of_worship,Saint Josephs Baptist Church
1424,354241802,POINT (-87.5917146 41.7639233),school,Saint Laurence Day Care Center
1425,354241809,POINT (-87.6106041 41.7600342),place_of_worship,Saint Lawrence Church of God and Christ
1426,354241816,POINT (-87.6692176 41.7705891),place_of_worship,Saint Justin Martyr Catholic Church
1427,354241824,POINT (-87.6517161 41.7353117),place_of_worship,Saint Kilian Roman Catholic Church
1428,354241828,POINT (-87.6503303 41.8569774),school,Pros Arts Studio
1429,354241836,POINT (-87.6881077 41.7933664),school,Richards Vocational High School
1430,354241861,POINT (-87.6833842 41.7522557),school,Quigley Preparatory Seminary South
