,osmid,geometry,fclass,name
12688,1740682467,POINT (-74.0047908 40.7083577),fast_food,McDonald's
12689,1740687659,POINT (-74.0068705 40.7434405),drinking_water,
12690,1740687680,POINT (-74.0069798 40.7446784),drinking_water,
12691,1740687681,POINT (-74.0046513 40.7479611),drinking_water,
12692,1740694091,POINT (-73.9847759 40.7587822),fast_food,McDonald's
12693,1740694092,POINT (-73.98375 40.762234),fast_food,McDonald's
12694,1740694096,POINT (-73.9651776 40.7776414),drinking_water,
12695,1740704818,POINT (-73.9437812 40.8102592),restaurant,Jacob
12696,1740704821,POINT (-73.9564207 40.7797371),toys,The Toy Zone
12697,1740707014,POINT (-73.9419707 40.8122736),fast_food,McDonald's
12698,1740710074,POINT (-73.9783642 40.7459706),convenience,Duane Reade
12699,1740822834,POINT (-73.9743141 40.7517225),fast_food,99C Pizza
12700,1740824586,POINT (-73.9742658 40.7516818),fast_food,Subway
12701,1740846707,POINT (-73.9769392 40.7525722),toilets,
12702,1740891594,POINT (-73.9695737 40.7635416),bank,CHASE
12703,1740891599,POINT (-73.9775627 40.768392),drinking_water,
12704,1740891600,POINT (-73.9770002 40.7688845),drinking_water,
12705,1740891616,POINT (-73.9715701 40.7734384),drinking_water,
12706,1740891617,POINT (-73.9711672 40.7735248),toilets,
12707,1740891626,POINT (-73.9687469 40.7749764),drinking_water,
12708,1740891627,POINT (-73.9687335 40.7750056),toilets,
12709,1740891629,POINT (-73.9682854 40.7756818),bicycle_rental,
12710,1740891630,POINT (-73.9672548 40.7776697),drinking_water,
12711,1740891631,POINT (-73.968752 40.7791936),drinking_water,
12712,1740891633,POINT (-73.9710867 40.7822464),drinking_water,
12713,1740966205,POINT (-73.990481 40.7370561),cafe,Starbucks
12714,1741221041,POINT (-73.9933796 40.7026774),restaurant,Grimaldi's Pizzeria
12715,1741585828,POINT (-73.960301 40.6819333),cafe,Outpost Cafe
12716,1741954376,POINT (-73.97548 40.681016),restaurant,Gino's Pizza
12717,1744432130,POINT (-73.9570385 40.6874319),restaurant,Nice Pizza
12718,1744614553,POINT (-73.909447 40.9147127),parking,
12719,1744779965,POINT (-73.9063083 40.9139069),parking,
12720,1744840457,POINT (-73.9039423 40.9105636),parking,
12721,1744961398,POINT (-73.9104885 40.9118226),parking,
12722,1744961406,POINT (-73.9096644 40.9122518),parking,
12723,1748710376,POINT (-73.9642396 40.6792722),garden_center,Natty Gardens
