,osmid,geometry,fclass,name
2282,367144559,POINT (-77.0486397 38.9173936),hotel,Windsor Lodge
2283,367144567,POINT (-77.006365 38.8976118),information,National Visitor Center
2284,367144568,POINT (-77.0081291 38.897683),museum,National Postal Museum
2285,367144587,POINT (-77.0355324 38.9137226),museum,House of the Temple Museum
2286,367144590,POINT (-77.0233503 38.8970326),museum,International Spy Museum
2287,367144591,POINT (-77.0988672 38.9215002),museum,Discovery Creek Children's Museum
2288,367796554,POINT (-76.9755556 38.9088889),doctors,Calvert County Fire/Rescue/Emergency Medical Services Division
2289,367996966,POINT (-77.0580329 38.8809453),museum,Drug Enforcement Agency Museum and Visitors Center
2290,388246850,POINT (-77.0957463 38.9454502),bank,
2291,388247153,POINT (-77.0963299 38.9450497),restaurant,Chicken Out Rotisserie
2292,426912984,POINT (-77.0366628 38.9325275),place_of_worship,Caanan Baptist Church
2293,426993011,POINT (-77.0359882 38.9336155),hackerspace,HacDC
2294,427017563,POINT (-77.0328511 38.9306549),fast_food,Subway
2295,427060764,POINT (-77.0517721 38.9595569),parking,
2296,427124841,POINT (-77.0526138 38.9393),toilets,
2297,457296753,POINT (-77.08628 38.938732),museum,American University Museum
2298,459416422,POINT (-77.0409328 38.9762768),parking,
2299,459416423,POINT (-77.0403344 38.9737433),parking,
2300,459416424,POINT (-77.0412195 38.9716756),parking,
2301,460020839,POINT (-77.0358087 38.9205516),toilets,Men's Room
2302,460020840,POINT (-77.035637 38.920545),toilets,Women's Room
2303,461865871,POINT (-77.0893648 38.9372697),convenience,Eagle's Nest
2304,461865875,POINT (-77.0893164 38.9373439),fast_food,Subway
2305,461865878,POINT (-77.0889073 38.9373956),fast_food,Megabytes
2306,461865881,POINT (-77.0890311 38.9373181),bank,Chevy Chase Bank
2307,461865884,POINT (-77.0893684 38.9369228),cargo,UPS Store
2308,461865885,POINT (-77.0891235 38.9372055),fast_food,McDonald's
2309,461865888,POINT (-77.0892385 38.9370766),hairdresser,Hair City
2310,462011947,POINT (-77.0455821 38.909472),restaurant,Al Tiramisu
2311,462011949,POINT (-77.0459245 38.9094669),fast_food,New Dynasty
2312,462011950,POINT (-77.0444 38.9094458),pharmacy,CVS
2313,462011953,POINT (-77.0450805 38.9094922),books,Second Story Books
2314,462011955,POINT (-77.0453461 38.9094762),restaurant,Goody's
2315,462011956,POINT (-77.0454266 38.9094762),fast_food,Subway
2316,462011957,POINT (-77.0454963 38.9094762),alcohol,1 West Dupont Circle Wine and Liquor
2317,462044703,POINT (-77.0481785 38.9094866),tailor,Linea Pittii Custom Tailor
2318,462044704,POINT (-77.0482939 38.9094825),furniture,Z Lights & Furniture
2319,462044705,POINT (-77.0483797 38.9094825),tanning,Solar Planet
2320,462044709,POINT (-77.0484416 38.9098019),cafe,Legends Eat In & Out
2321,462044714,POINT (-77.047634 38.9094783),fast_food,Bagels... Etc
2322,462044716,POINT (-77.0480632 38.9094866),dry_cleaner,Westpark Cleaners
2323,462044719,POINT (-77.0471164 38.9094616),pub,Stars Bistro & Bar
2324,462044722,POINT (-77.0475697 38.9094804),cafe,Creperie
2325,462044723,POINT (-77.0460113 38.9094303),pet,Dupont Pet Stop
2326,462044724,POINT (-77.0460998 38.909424),art,Art & Framing
2327,462044726,POINT (-77.0462473 38.9094574),dry_cleaner,Lustre Cleaners
2328,462044727,POINT (-77.0464351 38.9094679),restaurant,Cafe Japone
2329,462044728,POINT (-77.0454266 38.9094386),restaurant,Alberto's Pizza
2330,462044729,POINT (-77.0456867 38.9094741),restaurant,Bangkok Thai Dining
2331,462044730,POINT (-77.0459469 38.9094595),veterinary,Dupont Veterinary Clinic
2332,462284581,POINT (-77.0369832 38.9167916),cafe,Starbucks
2333,470398381,POINT (-77.0640053 38.909136),cafe,Thomas Sweet
2334,471139116,POINT (-77.043644 38.9031676),cafe,Java Green
2335,471139118,POINT (-77.043644 38.9030298),fast_food,Spice Express
2336,471139124,POINT (-77.0431505 38.9035809),cafe,Corner Bakery
2337,471139126,POINT (-77.0431559 38.9033304),sports_centre,Fitness First
2338,471139128,POINT (-77.0431719 38.9031384),parking,
2339,471593595,POINT (-77.0436547 38.9035976),cafe,Potbelly
2340,471743205,POINT (-77.0671595 38.9052333),restaurant,Sweet Green
2341,471743207,POINT (-77.0683921 38.9052036),bicycle,Revolution Cycles
2342,471743208,POINT (-77.0680917 38.9052103),bicycle,Bicycle Pro Shop
2343,472671268,POINT (-77.020785 38.8742947),police,
2344,472671269,POINT (-77.0203473 38.8752369),parking,
2345,472671272,POINT (-77.0217978 38.8775556),parking,
2346,472671273,POINT (-77.0221926 38.8772749),parking,Chanel Inn Hotel Parking
2347,476902333,POINT (-77.0315742 38.9051023),hotel,Donovan House
2348,479100383,POINT (-77.0347927 38.9168284),cafe,Cake Love
2349,479662933,POINT (-77.1016965 38.9193488),information,
2350,479662934,POINT (-77.101694 38.9188121),drinking_water,
2351,479662935,POINT (-77.1020825 38.9185711),picnic_site,Fletcher's Cove
2352,479662962,POINT (-77.0712604 38.9046493),information,
2353,486275962,POINT (-77.021691 38.89597),cafe,Starbucks
2354,486275964,POINT (-77.0212458 38.8959533),fast_food,Potato Valley Cafe
2355,486275966,POINT (-77.0196338 38.8959399),fast_food,McDonald's
2356,486276017,POINT (-77.0227424 38.8959449),pharmacy,CVS
2357,486343600,POINT (-77.0207057 38.8996253),restaurant,New Big Wong
2358,486343622,POINT (-77.0205046 38.8999776),restaurant,Jackey Cafe
2359,486343637,POINT (-77.0217086 38.8996523),mobile_phone,AT&T Wireless
2360,486343650,POINT (-77.0216314 38.8996523),bank,SunTrust
2361,486343677,POINT (-77.0201276 38.8994281),restaurant,Kanlaya Thai Cuisine
2362,486343683,POINT (-77.0201249 38.8993613),restaurant,Pho Sai Gan & Grill
2363,486343703,POINT (-77.0217142 38.8996127),sports_centre,Washington Sports Club
2364,486343734,POINT (-77.0201222 38.899618),restaurant,Szechuan House Restaurant
2365,486343741,POINT (-77.0201249 38.8995282),fast_food,Urfa Tomato Kabob
2366,486343768,POINT (-77.020859 38.8971474),cafe,Camille's Sidewalk Cafe
2367,486343772,POINT (-77.0209877 38.8971473),parking,
2368,486343794,POINT (-77.0195024 38.8984562),fast_food,Burger King
2369,486343823,POINT (-77.0196523 38.8962972),museum,Marian Koshland Science Museum
2370,486343837,POINT (-77.0202807 38.8975639),pub,The Green Turtle Sports Bar & Grill
